USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   12748   2152 SyS_epoll_wait      0 S init
root             2     0       0      0 kthreadd            0 S [kthreadd]
root             3     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/0]
root             4     2       0      0 worker_thread       0 S [kworker/0:0]
root             5     2       0      0 worker_thread       0 S [kworker/0:0H]
root             6     2       0      0 msm_mpm_work_fn     0 D [kworker/u8:0]
root             7     2       0      0 rcu_gp_kthread      0 S [rcu_preempt]
root             8     2       0      0 rcu_gp_kthread      0 S [rcu_sched]
root             9     2       0      0 rcu_gp_kthread      0 S [rcu_bh]
root            10     2       0      0 smpboot_thread_fn   0 S [rcuc/0]
root            11     2       0      0 rcu_boost_kthread   0 S [rcub/0]
root            12     2       0      0 smpboot_thread_fn   0 S [migration/0]
root            13     2       0      0 smpboot_thread_fn   0 S [watchdog/0]
root            14     2       0      0 smpboot_thread_fn   0 S [watchdog/1]
root            15     2       0      0 smpboot_thread_fn   0 S [migration/1]
root            16     2       0      0 smpboot_thread_fn   0 S [rcuc/1]
root            17     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/1]
root            18     2       0      0 worker_thread       0 S [kworker/1:0]
root            19     2       0      0 worker_thread       0 S [kworker/1:0H]
root            20     2       0      0 smpboot_thread_fn   0 S [watchdog/2]
root            21     2       0      0 smpboot_thread_fn   0 S [migration/2]
root            22     2       0      0 smpboot_thread_fn   0 S [rcuc/2]
root            23     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/2]
root            24     2       0      0 worker_thread       0 S [kworker/2:0]
root            25     2       0      0 worker_thread       0 S [kworker/2:0H]
root            26     2       0      0 smpboot_thread_fn   0 S [watchdog/3]
root            27     2       0      0 smpboot_thread_fn   0 S [migration/3]
root            28     2       0      0 smpboot_thread_fn   0 S [rcuc/3]
root            29     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/3]
root            30     2       0      0 worker_thread       0 S [kworker/3:0]
root            31     2       0      0 worker_thread       0 S [kworker/3:0H]
root            32     2       0      0 rescuer_thread      0 S [khelper]
root            33     2       0      0 rescuer_thread      0 S [netns]
root            34     2       0      0 rescuer_thread      0 S [perf]
root            35     2       0      0 rescuer_thread      0 S [smd_channel_clo]
root            36     2       0      0 kthread_worker_fn   0 S [dsps_smd_trans_]
root            37     2       0      0 kthread_worker_fn   0 S [lpass_smd_trans]
root            38     2       0      0 kthread_worker_fn   0 S [mpss_smd_trans_]
root            39     2       0      0 kthread_worker_fn   0 S [wcnss_smd_trans]
root            40     2       0      0 kthread_worker_fn   0 S [rpm_smd_trans_g]
root            41     2       0      0 watchdog_kthread    0 S [msm_watchdog]
root            42     2       0      0 worker_thread       0 S [kworker/0:1]
root            43     2       0      0 rescuer_thread      0 S [rpm_requests]
root            44     2       0      0 kthread_worker_fn   0 S [smem_native_mps]
root            45     2       0      0 kthread_worker_fn   0 S [mpss_smem_glink]
root            46     2       0      0 kthread_worker_fn   0 S [smem_native_lpa]
root            47     2       0      0 kthread_worker_fn   0 S [lpass_smem_glin]
root            48     2       0      0 kthread_worker_fn   0 S [smem_native_dsp]
root            49     2       0      0 kthread_worker_fn   0 S [dsps_smem_glink]
root            50     2       0      0 kthread_worker_fn   0 S [smem_native_rpm]
